account_id,account_name,industry,country,signup_date,referral_source,plan_tier,seats,is_trial,churn_flag,mrr_amount,arr_amount,current_plan,current_seats,billing_frequency,auto_renew_flag,end_date,total_subscriptions,total_upgrades,total_downgrades,usage_count_90d,errors_90d,active_days_90d,usage_count_prior_90d,tickets_90d,avg_resolution_hrs,escalations_90d,avg_csat,high_priority_tickets_90d,last_churn_date,last_reason_code,total_churn_events,tenure_days,usage_trend_pct,tickets_per_seat_90d,s_usage,s_engage,s_support,s_tenure,s_commercial,health_score,health_bucket
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,836,10032,Basic,44,monthly,True,,10,1,0,56.0,6.0,6.0,111.0,1.0,19.0,0.0,,1.0,2024-12-05,competitor,2.0,76,-49.549549549549546,0.022727272727272728,25,15,85.0,65,50.0,49.0,Red
A-43a9e3,Company_1,FinTech,IN,2023-08-17,other,Basic,18,False,True,882,10584,Pro,18,monthly,True,,8,3,0,38.0,3.0,4.0,82.0,0.0,,0.0,,0.0,,,0.0,502,-53.65853658536586,,0,15,100.0,85,80.0,52.2,Yellow
A-0a282f,Company_2,DevTools,US,2024-08-27,organic,Basic,1,False,False,98,1176,Pro,2,annual,True,,15,1,1,104.0,5.0,10.0,88.0,1.0,18.0,0.0,4.0,0.0,2024-12-31,support,2.0,126,18.181818181818183,0.5,80,40,100.0,50,40.0,69.0,Yellow
A-1f0ac7,Company_3,HealthTech,UK,2023-08-27,other,Basic,24,True,False,1176,14112,Pro,24,monthly,True,,7,2,0,45.0,3.0,5.0,57.0,0.0,,0.0,,0.0,2024-11-08,support,1.0,492,-21.052631578947366,,25,15,100.0,85,70.0,58.8,Yellow
A-ce550d,Company_4,HealthTech,US,2024-10-27,event,Enterprise,35,False,True,21691,260292,Enterprise,109,monthly,True,2024-12-31,9,2,0,108.0,10.0,11.0,67.0,1.0,69.0,0.0,5.0,0.0,2024-12-28,budget,1.0,65,61.19402985074627,0.009174311926605505,100,40,100.0,65,80.0,82.0,Green
A-1b9609,Company_5,EdTech,IN,2023-10-12,ads,Enterprise,4,False,False,0,0,Enterprise,25,annual,True,,11,0,0,67.0,0.0,5.0,71.0,1.0,65.0,0.0,,1.0,2024-11-16,unknown,3.0,446,-5.633802816901409,0.04,50,15,85.0,85,30.0,58.5,Yellow
A-a0ca4e,Company_6,Cybersecurity,US,2024-03-08,ads,Pro,11,False,False,5174,62088,Enterprise,26,monthly,True,,9,0,0,62.0,1.0,6.0,53.0,1.0,61.0,0.0,,1.0,,,0.0,298,16.9811320754717,0.038461538461538464,80,15,85.0,75,70.0,69.5,Yellow
A-e5d6ab,Company_7,EdTech,US,2023-04-15,partner,Pro,3,False,False,1568,18816,Pro,32,annual,True,,10,0,0,93.0,8.0,9.0,31.0,0.0,,0.0,,0.0,2024-05-11,competitor,2.0,626,200.0,,100,15,100.0,85,40.0,78.2,Green
A-7dacce,Company_8,Cybersecurity,CA,2024-09-10,event,Enterprise,12,False,True,0,0,Pro,12,annual,True,,10,1,0,63.0,0.0,7.0,52.0,0.0,,0.0,,0.0,2024-12-27,budget,3.0,112,21.153846153846153,,100,15,100.0,65,40.0,74.2,Yellow
A-10b8da,Company_9,DevTools,US,2023-05-08,partner,Enterprise,14,False,True,1666,19992,Pro,34,monthly,True,,6,1,0,56.0,3.0,5.0,14.0,0.0,,0.0,,0.0,,,0.0,603,300.0,,100,15,100.0,85,70.0,81.2,Green
A-592832,Company_10,Cybersecurity,US,2024-09-25,organic,Basic,18,False,True,882,10584,Pro,18,annual,False,,19,1,1,104.0,2.0,9.0,138.0,1.0,41.0,0.0,,0.0,2024-10-04,support,1.0,97,-24.637681159420293,0.05555555555555555,25,15,95.0,35,60.0,46.5,Red
A-d40bf7,Company_11,FinTech,IN,2024-11-08,organic,Basic,59,False,False,1121,13452,Basic,59,monthly,True,,10,1,0,45.0,1.0,5.0,130.0,1.0,14.0,0.0,5.0,1.0,,,0.0,53,-65.38461538461539,0.01694915254237288,0,15,95.0,65,70.0,46.0,Red
A-6c093d,Company_12,DevTools,US,2023-04-14,partner,Basic,7,True,False,0,0,Enterprise,7,annual,True,,12,2,0,109.0,9.0,9.0,55.0,0.0,,0.0,,0.0,,,0.0,627,98.18181818181819,,100,15,100.0,85,70.0,81.2,Green
A-462d45,Company_13,Cybersecurity,US,2024-01-15,partner,Enterprise,11,True,False,1470,17640,Pro,30,annual,True,,12,1,2,54.0,0.0,5.0,77.0,1.0,29.0,0.0,,0.0,2024-05-17,competitor,1.0,351,-29.87012987012987,0.03333333333333333,25,15,95.0,45,60.0,48.5,Red
A-956988,Company_14,EdTech,UK,2024-11-30,ads,Enterprise,1,False,False,6368,76416,Enterprise,32,annual,True,,13,0,1,74.0,8.0,7.0,126.0,1.0,57.0,0.0,3.0,1.0,2024-12-30,unknown,2.0,31,-41.269841269841265,0.03125,25,15,85.0,50,50.0,46.0,Red
A-ac14bb,Company_15,FinTech,US,2023-09-08,partner,Enterprise,21,False,False,532,6384,Basic,28,annual,True,,8,2,0,58.0,6.0,5.0,52.0,0.0,,0.0,,0.0,2024-10-01,competitor,2.0,480,11.538461538461538,,80,15,100.0,85,60.0,74.2,Yellow
A-463db0,Company_16,HealthTech,US,2024-12-05,partner,Basic,15,False,False,735,8820,Pro,15,annual,True,,7,0,0,54.0,3.0,6.0,49.0,1.0,49.0,0.0,4.0,0.0,2024-12-30,features,1.0,26,10.204081632653061,0.06666666666666667,80,15,100.0,65,50.0,69.2,Yellow
A-ce66f8,Company_17,EdTech,CA,2023-08-23,event,Pro,29,False,False,1421,17052,Pro,29,annual,True,,6,0,0,60.0,1.0,7.0,15.0,1.0,33.0,0.0,4.0,0.0,,,0.0,496,300.0,0.034482758620689655,100,15,100.0,85,60.0,80.2,Green
A-c4ea60,Company_18,FinTech,DE,2023-03-09,other,Enterprise,18,False,True,3582,42984,Enterprise,18,monthly,True,,9,0,1,61.0,2.0,4.0,41.0,0.0,,0.0,,0.0,,,0.0,663,48.78048780487805,,100,15,100.0,70,70.0,78.2,Green
A-832ec2,Company_19,FinTech,UK,2023-11-19,event,Enterprise,4,True,False,4378,52536,Enterprise,22,annual,False,,8,3,0,86.0,4.0,7.0,79.0,0.0,,0.0,,0.0,2024-09-15,pricing,2.0,408,8.860759493670885,,80,15,100.0,70,70.0,72.2,Yellow
A-684255,Company_20,FinTech,US,2024-04-14,ads,Enterprise,9,False,False,0,0,Basic,9,annual,True,2024-12-26,14,3,1,84.0,4.0,8.0,80.0,0.0,,0.0,,0.0,2024-07-03,unknown,2.0,261,5.0,,80,15,100.0,60,50.0,68.2,Yellow
A-c42f1f,Company_21,HealthTech,US,2024-07-28,other,Pro,8,False,False,152,1824,Basic,8,monthly,True,,8,1,1,16.0,1.0,2.0,24.0,0.0,,0.0,,0.0,,,0.0,156,-33.33333333333333,,25,15,100.0,50,60.0,50.8,Yellow
A-4e44e8,Company_22,DevTools,US,2024-08-20,ads,Enterprise,3,False,True,3383,40596,Enterprise,17,annual,True,,14,2,0,50.0,0.0,6.0,109.0,0.0,,0.0,,0.0,2024-10-11,budget,2.0,133,-54.12844036697248,,0,15,100.0,65,70.0,47.2,Red
A-30b4ca,Company_23,EdTech,IN,2024-05-20,organic,Basic,86,False,True,1634,19608,Basic,86,annual,True,,8,0,0,32.0,0.0,3.0,78.0,0.0,,0.0,,0.0,2024-09-01,features,1.0,225,-58.97435897435898,,0,15,100.0,75,50.0,47.2,Red
A-9f2731,Company_24,FinTech,IN,2024-10-04,event,Enterprise,1,False,False,0,0,Pro,5,annual,True,,7,0,1,64.0,4.0,6.0,38.0,0.0,,0.0,,0.0,2024-12-09,unknown,2.0,88,68.42105263157895,,100,15,100.0,50,30.0,70.2,Yellow
A-32fb14,Company_25,DevTools,US,2023-03-07,event,Enterprise,26,False,True,5174,62088,Enterprise,26,annual,True,,9,2,0,28.0,4.0,3.0,45.0,0.0,,0.0,,0.0,2024-04-28,competitor,3.0,665,-37.77777777777778,,25,15,100.0,85,70.0,58.8,Yellow
A-00cac8,Company_26,HealthTech,AU,2023-09-15,organic,Enterprise,8,True,False,931,11172,Pro,19,annual,True,,9,0,1,47.0,1.0,4.0,41.0,0.0,,0.0,,0.0,,,0.0,473,14.634146341463413,,80,15,100.0,70,60.0,71.2,Yellow
A-35083d,Company_27,HealthTech,IN,2023-04-28,partner,Basic,19,False,True,9751,117012,Enterprise,49,monthly,True,,16,3,0,117.0,2.0,10.0,100.0,0.0,,0.0,,0.0,,,0.0,613,17.0,,80,40,100.0,85,90.0,81.0,Green
A-eb7fac,Company_28,DevTools,US,2023-10-28,organic,Enterprise,7,False,False,494,5928,Basic,26,monthly,True,,10,0,0,54.0,0.0,6.0,77.0,0.0,,0.0,,0.0,2024-07-22,unknown,1.0,430,-29.87012987012987,,25,15,100.0,85,40.0,55.8,Yellow
A-b20d99,Company_29,HealthTech,IN,2023-09-27,other,Basic,20,False,False,3980,47760,Enterprise,20,monthly,True,,7,1,0,0.0,0.0,0.0,39.0,0.0,,0.0,,0.0,2024-03-04,features,1.0,461,,,30,0,100.0,85,70.0,58.0,Yellow
A-396e5f,Company_30,Cybersecurity,CA,2024-10-02,other,Enterprise,2,False,False,1666,19992,Pro,34,monthly,False,,10,2,1,101.0,5.0,10.0,63.0,1.0,60.0,1.0,4.0,1.0,2024-11-30,features,1.0,90,60.317460317460316,0.029411764705882353,100,40,80.0,35,70.0,70.0,Yellow
A-45ce7a,Company_31,FinTech,US,2023-07-23,ads,Enterprise,16,False,False,3184,38208,Enterprise,16,monthly,True,,7,2,1,32.0,0.0,3.0,39.0,1.0,50.0,0.0,,0.0,,,0.0,527,-17.94871794871795,0.0625,50,15,95.0,70,90.0,64.0,Yellow
A-08e34e,Company_32,EdTech,US,2024-06-27,event,Basic,14,False,True,2786,33432,Enterprise,14,monthly,True,,11,0,0,95.0,8.0,7.0,112.0,0.0,,0.0,,0.0,2024-09-01,features,2.0,187,-15.178571428571427,,50,15,100.0,75,50.0,62.2,Yellow
A-8145a0,Company_33,Cybersecurity,AU,2023-04-25,partner,Basic,2,True,False,285,3420,Basic,15,monthly,True,,12,2,0,79.0,1.0,7.0,110.0,1.0,39.0,0.0,4.0,0.0,2023-07-12,features,1.0,616,-28.18181818181818,0.06666666666666667,25,15,100.0,85,60.0,57.8,Yellow
A-bad8c1,Company_34,FinTech,AU,2023-03-01,organic,Basic,7,False,False,1813,21756,Pro,37,monthly,True,,7,2,0,53.0,0.0,4.0,29.0,0.0,,0.0,,0.0,2023-10-04,unknown,1.0,671,82.75862068965517,,100,15,100.0,85,70.0,81.2,Green
A-44dc83,Company_35,EdTech,FR,2024-05-12,other,Basic,5,False,False,0,0,Enterprise,13,annual,True,,4,0,0,12.0,0.0,1.0,37.0,0.0,,0.0,,0.0,2024-11-29,unknown,1.0,233,-67.56756756756756,,0,15,100.0,75,40.0,46.2,Red
A-f446b6,Company_36,DevTools,DE,2023-05-12,ads,Pro,5,True,False,95,1140,Basic,5,annual,True,,9,0,0,54.0,5.0,5.0,33.0,1.0,18.0,1.0,,1.0,,,0.0,599,63.63636363636363,0.2,100,15,70.0,85,50.0,71.8,Yellow
A-a45270,Company_37,HealthTech,US,2024-06-24,ads,Enterprise,3,False,False,0,0,Basic,66,annual,True,,12,2,1,46.0,6.0,5.0,48.0,2.0,62.0,0.0,4.0,1.0,2024-11-12,pricing,1.0,190,-4.166666666666666,0.030303030303030304,50,15,90.0,60,60.0,57.8,Yellow
A-854864,Company_38,FinTech,IN,2024-12-07,event,Enterprise,20,False,False,980,11760,Pro,20,annual,True,,6,0,0,31.0,1.0,3.0,22.0,0.0,,0.0,,0.0,2024-12-24,support,1.0,24,40.909090909090914,,100,15,100.0,65,50.0,75.2,Green
A-1b7577,Company_39,Cybersecurity,US,2024-10-27,other,Pro,4,False,False,2009,24108,Pro,41,monthly,True,,11,0,1,106.0,4.0,8.0,84.0,0.0,,0.0,,0.0,,,0.0,65,26.190476190476193,,100,15,100.0,50,70.0,74.2,Yellow
A-05f0e5,Company_40,FinTech,US,2023-05-04,partner,Basic,32,False,False,2842,34104,Pro,58,annual,True,,12,2,0,149.0,12.0,12.0,67.0,1.0,36.0,0.0,,0.0,2024-11-25,features,2.0,607,122.38805970149254,0.017241379310344827,100,40,95.0,85,70.0,83.8,Green
A-9077b0,Company_41,HealthTech,US,2024-08-25,ads,Basic,2,False,False,398,4776,Enterprise,2,annual,True,,7,3,0,33.0,0.0,3.0,94.0,0.0,,0.0,,0.0,,,0.0,128,-64.8936170212766,,0,15,100.0,65,70.0,47.2,Red
A-7f8241,Company_42,EdTech,US,2023-03-14,organic,Pro,34,False,True,6766,81192,Enterprise,34,monthly,False,,15,2,0,118.0,0.0,12.0,85.0,0.0,,0.0,,0.0,,,0.0,658,38.82352941176471,,100,40,100.0,70,90.0,84.0,Green
A-2bc93d,Company_43,HealthTech,US,2023-03-14,event,Basic,14,False,False,1715,20580,Pro,35,monthly,True,,13,4,0,89.0,0.0,7.0,97.0,1.0,7.0,0.0,5.0,0.0,2024-08-15,competitor,2.0,658,-8.24742268041237,0.02857142857142857,50,15,100.0,85,60.0,65.2,Yellow
A-f3ff05,Company_44,FinTech,IN,2024-07-06,other,Enterprise,2,False,False,570,6840,Basic,30,monthly,True,,13,1,0,49.0,1.0,5.0,92.0,0.0,,0.0,,0.0,2024-10-20,unknown,1.0,178,-46.73913043478261,,25,15,100.0,65,60.0,53.8,Yellow
A-2d4502,Company_45,FinTech,IN,2024-04-29,event,Basic,7,False,False,6766,81192,Enterprise,34,annual,True,,10,2,0,19.0,2.0,2.0,59.0,0.0,,0.0,,0.0,2024-05-07,pricing,1.0,246,-67.79661016949152,,0,15,100.0,75,80.0,50.2,Yellow
